basket,dir,level,dprice,adverse,dt_s,lot_prev,lot_new
L196,long,2,-3.9299999999998363,3.9299999999998363,990.0,0.02,0.02
L196,long,3,-2.3600000000001273,2.3600000000001273,178.0,0.02,0.03
L196,long,4,-1.9900000000002365,1.9900000000002365,106.0,0.03,0.04
L196,long,5,-2.3799999999996544,2.3799999999996544,147.0,0.04,0.05
L196,long,6,-7.070000000000164,7.070000000000164,471.0,0.05,0.06
L196,long,7,-2.949999999999818,2.949999999999818,115.0,0.06,0.08
L196,long,8,-1.8400000000001455,1.8400000000001455,243.0,0.08,0.11
L196,long,9,-1.300000000000182,1.300000000000182,47.0,0.11,0.14
L196,long,10,-3.9400000000000546,3.9400000000000546,26.0,0.14,0.18
L197,long,1,-0.11000000000012733,0.11000000000012733,0.0,0.06,0.05
L197,long,2,-0.03000000000020009,0.03000000000020009,1.0,0.05,0.04
L197,long,3,0.09000000000014552,-0.09000000000014552,1.0,0.04,0.03
L197,long,4,-1.0100000000002183,1.0100000000002183,64.0,0.03,0.08
L197,long,5,-1.9299999999998363,1.9299999999998363,638.0,0.08,0.11
L197,long,6,-2.5399999999999636,2.5399999999999636,237.0,0.11,0.14
L197,long,7,-3.380000000000109,3.380000000000109,1714.0,0.14,0.18
L197,long,8,-1.8299999999999272,1.8299999999999272,574.0,0.18,0.23
L197,long,9,7.309999999999945,-7.309999999999945,823.0,0.23,0.19
L197,long,10,0.7000000000002728,-0.7000000000002728,2.0,0.19,0.16
L200,long,1,-1.1600000000003092,1.1600000000003092,88.0,0.03,0.04
L200,long,2,-3.3399999999996908,3.3399999999996908,636.0,0.04,0.05
L200,long,3,-2.4400000000000546,2.4400000000000546,300.0,0.05,0.06
L200,long,4,-3.8400000000001455,3.8400000000001455,220.0,0.06,0.08
L200,long,5,-3.299999999999727,3.299999999999727,69.0,0.08,0.11
L200,long,6,-4.980000000000018,4.980000000000018,21.0,0.11,0.14
L200,long,7,-2.7899999999999636,2.7899999999999636,454.0,0.14,0.18
L200,long,8,-1.550000000000182,1.550000000000182,564.0,0.18,0.23
L200,long,9,-3.880000000000109,3.880000000000109,97.0,0.23,0.3
L201,long,1,-1.6799999999998363,1.6799999999998363,92.0,0.03,0.04
L201,long,2,-1.6900000000000546,1.6900000000000546,92.0,0.04,0.05
L203,long,1,-2.700000000000273,2.700000000000273,110.0,0.02,0.02
L207,long,1,-0.0500000000001819,0.0500000000001819,1.0,0.02,0.02
L208,long,1,-0.15000000000009095,0.15000000000009095,6.0,0.03,0.02
L208,long,2,0.0,-0.0,1.0,0.02,0.02
L208,long,3,-1.4800000000000182,1.4800000000000182,91.0,0.02,0.04
L208,long,4,-1.5299999999997453,1.5299999999997453,156.0,0.04,0.05
L208,long,5,-2.5100000000002183,2.5100000000002183,969.0,0.05,0.06
L208,long,6,-1.5499999999997272,1.5499999999997272,389.0,0.06,0.08
L208,long,7,-2.950000000000273,2.950000000000273,827.0,0.08,0.11
L208,long,8,-0.7999999999997272,0.7999999999997272,2349.0,0.11,0.14
L208,long,9,-2.480000000000018,2.480000000000018,1891.0,0.14,0.18
L211,long,1,-2.269999999999982,2.269999999999982,796.0,0.02,0.02
L217,long,1,-1.400000000000091,1.400000000000091,145.0,0.02,0.02
L217,long,2,-6.920000000000073,6.920000000000073,568.0,0.02,0.03
L217,long,3,-5.920000000000073,5.920000000000073,94.0,0.03,0.04
L217,long,4,-2.8399999999996908,2.8399999999996908,775.0,0.04,0.05
L217,long,5,-1.6700000000000728,1.6700000000000728,416.0,0.05,0.06
L217,long,6,-1.3899999999998727,1.3899999999998727,1266.0,0.06,0.08
L218,long,1,-1.9700000000002547,1.9700000000002547,294.0,0.02,0.02
L218,long,2,-2.4899999999997817,2.4899999999997817,458.0,0.02,0.03
L218,long,3,-0.7300000000000182,0.7300000000000182,106.0,0.03,0.04
L218,long,4,-3.6599999999998545,3.6599999999998545,140.0,0.04,0.05
L218,long,5,-1.9700000000002547,1.9700000000002547,478.0,0.05,0.06
L219,long,1,-1.6300000000001091,1.6300000000001091,181.0,0.02,0.02
L221,long,1,-1.1600000000003092,1.1600000000003092,622.0,0.02,0.02
L221,long,2,-7.089999999999691,7.089999999999691,348.0,0.02,0.03
L225,long,1,-1.849999999999909,1.849999999999909,842.0,0.02,0.02
L225,long,2,-2.2599999999997635,2.2599999999997635,58.0,0.02,0.03
L225,long,3,-2.930000000000291,2.930000000000291,1249.0,0.03,0.04
L225,long,4,-2.199999999999818,2.199999999999818,834.0,0.04,0.05
L225,long,5,-1.7000000000002728,1.7000000000002728,744.0,0.05,0.06
L228,long,1,-2.6200000000003456,2.6200000000003456,201.0,0.02,0.02
L228,long,2,-2.4400000000000546,2.4400000000000546,2521.0,0.02,0.03
L229,long,1,-1.949999999999818,1.949999999999818,88.0,0.02,0.02
L229,long,2,-1.8700000000003456,1.8700000000003456,366.0,0.02,0.03
L230,long,1,-1.930000000000291,1.930000000000291,201.0,0.02,0.02
L231,long,1,-2.7399999999997817,2.7399999999997817,490.0,0.02,0.02
L231,long,2,-2.430000000000291,2.430000000000291,138.0,0.02,0.03
L232,long,1,-1.8899999999998727,1.8899999999998727,77.0,0.02,0.02
L232,long,2,-2.9099999999998545,2.9099999999998545,49.0,0.02,0.03
L235,long,1,-2.1099999999996726,2.1099999999996726,141.0,0.02,0.02
L238,long,1,-2.3600000000001273,2.3600000000001273,217.0,0.02,0.02
L239,long,1,-2.630000000000109,2.630000000000109,556.0,0.02,0.02
L241,long,1,-6.229999999999563,6.229999999999563,780.0,0.05,0.08
L242,long,1,-0.049999999999272404,0.049999999999272404,0.0,0.02,0.03
L242,long,2,-0.03999999999996362,0.03999999999996362,0.0,0.03,0.04
L242,long,3,-0.7899999999999636,0.7899999999999636,20.0,0.04,0.05
L242,long,4,0.0,-0.0,20.0,0.05,0.07
L242,long,5,0.4399999999995998,-0.4399999999995998,5.0,0.07,0.08
L242,long,6,0.0,-0.0,0.0,0.08,0.11
L242,long,7,0.0,-0.0,0.0,0.11,0.18
L242,long,8,0.0,-0.0,0.0,0.18,0.23
L242,long,9,0.0,-0.0,1.0,0.23,0.14
L242,long,10,0.15999999999985448,-0.15999999999985448,0.0,0.14,0.31
L242,long,11,0.02999999999974534,-0.02999999999974534,0.0,0.31,0.02
L243,long,1,-0.02999999999974534,0.02999999999974534,1.0,0.11,0.08
L243,long,2,0.0,-0.0,0.0,0.08,0.06
L243,long,3,0.7199999999997999,-0.7199999999997999,2.0,0.06,0.05
L243,long,4,0.0,-0.0,0.0,0.05,0.04
L243,long,5,0.0,-0.0,0.0,0.04,0.03
L244,long,1,0.1799999999998363,-0.1799999999998363,3.0,0.14,0.11
L244,long,2,-0.009999999999763531,0.009999999999763531,2.0,0.11,0.08
L244,long,3,0.02999999999974534,-0.02999999999974534,1.0,0.08,0.06
L244,long,4,-0.009999999999763531,0.009999999999763531,0.0,0.06,0.05
L244,long,5,-0.25,0.25,12.0,0.05,0.04
L244,long,6,0.36999999999989086,-0.36999999999989086,8.0,0.04,0.03
L244,long,7,-1.3099999999999454,1.3099999999999454,1171.0,0.03,0.18
L245,long,1,-0.009999999999763531,0.009999999999763531,0.0,0.4,0.31
L245,long,2,0.15999999999985448,-0.15999999999985448,1.0,0.31,0.23
L245,long,3,0.23999999999978172,-0.23999999999978172,0.0,0.23,0.18
L245,long,4,-0.05999999999994543,0.05999999999994543,1.0,0.18,0.14
L245,long,5,-0.25999999999976353,0.25999999999976353,0.0,0.14,0.11
L245,long,6,0.03999999999996362,-0.03999999999996362,1.0,0.11,0.08
L245,long,7,0.17000000000007276,-0.17000000000007276,0.0,0.08,0.07
L245,long,8,0.0,-0.0,1.0,0.07,0.05
L245,long,9,0.02999999999974534,-0.02999999999974534,1.0,0.05,0.04
L245,long,10,-0.11000000000012733,0.11000000000012733,0.0,0.04,0.03
L245,long,11,0.08000000000038199,-0.08000000000038199,1.0,0.03,0.02
L245,long,12,0.08999999999969077,-0.08999999999969077,0.0,0.02,0.02
S001,short,1,1.3600000000001273,1.3600000000001273,89.0,0.02,0.02
S002,short,1,1.8299999999999272,1.8299999999999272,26.0,0.02,0.02
S003,short,1,4.480000000000018,4.480000000000018,522.0,0.02,0.02
S003,short,2,2.380000000000109,2.380000000000109,368.0,0.02,0.03
S003,short,3,2.349999999999909,2.349999999999909,39.0,0.03,0.04
S003,short,4,2.299999999999727,2.299999999999727,374.0,0.04,0.05
S003,short,5,1.400000000000091,1.400000000000091,45.0,0.05,0.06
S003,short,6,1.3099999999999454,1.3099999999999454,134.0,0.06,0.08
S004,short,1,3.849999999999909,3.849999999999909,185.0,0.02,0.02
S004,short,2,2.580000000000382,2.580000000000382,1384.0,0.02,0.03
S004,short,3,1.3899999999998727,1.3899999999998727,270.0,0.03,0.04
S006,short,1,1.6499999999996362,1.6499999999996362,86.0,0.02,0.02
S006,short,2,0.43000000000029104,0.43000000000029104,64.0,0.02,0.03
S010,short,1,-0.15999999999985448,-0.15999999999985448,11.0,0.02,0.02
S010,short,2,2.6399999999998727,2.6399999999998727,138.0,0.02,0.03
S010,short,3,3.230000000000018,3.230000000000018,240.0,0.03,0.04
S010,short,4,1.7300000000000182,1.7300000000000182,32.0,0.04,0.05
S010,short,5,1.5300000000002,1.5300000000002,47.0,0.05,0.06
S010,short,6,1.1799999999998363,1.1799999999998363,14.0,0.06,0.08
S011,short,1,4.420000000000073,4.420000000000073,212.0,0.02,0.02
S012,short,1,1.9299999999998363,1.9299999999998363,45.0,0.02,0.02
S012,short,2,1.7000000000002728,1.7000000000002728,67.0,0.02,0.03
S013,short,1,1.180000000000291,1.180000000000291,85.0,0.02,0.02
S013,short,2,2.1799999999998363,2.1799999999998363,264.0,0.02,0.03
S014,short,1,3.3900000000003274,3.3900000000003274,133.0,0.02,0.02
S014,short,2,3.2799999999997453,3.2799999999997453,1068.0,0.02,0.03
S015,short,1,0.0,0.0,0.0,0.11,0.14
S015,short,2,0.0,0.0,0.0,0.14,0.09
S015,short,3,0.12000000000034561,0.12000000000034561,1.0,0.09,0.06
S015,short,4,1.6299999999996544,1.6299999999996544,24.0,0.06,0.05
S015,short,5,1.2300000000000182,1.2300000000000182,8.0,0.05,0.04
S015,short,6,-0.8899999999998727,-0.8899999999998727,7.0,0.04,0.03
S015,short,7,0.0,0.0,0.0,0.03,0.02
S015,short,8,-0.2699999999999818,-0.2699999999999818,0.0,0.02,0.02
S015,short,9,0.19000000000005457,0.19000000000005457,1.0,0.02,0.03
S015,short,10,0.40000000000009095,0.40000000000009095,1.0,0.03,0.02
S015,short,11,-0.4800000000000182,-0.4800000000000182,13.0,0.02,0.18
S015,short,12,-0.05999999999994543,-0.05999999999994543,10.0,0.18,0.24
S015,short,13,6.119999999999891,6.119999999999891,93.0,0.24,0.31
S015,short,14,7.289999999999964,7.289999999999964,105.0,0.31,0.41
S015,short,15,1.2899999999999636,1.2899999999999636,51.0,0.41,0.54
S016,short,1,0.2300000000000182,0.2300000000000182,1.0,0.54,0.41
S016,short,2,0.0,0.0,0.0,0.41,0.31
S016,short,3,0.15000000000009095,0.15000000000009095,6.0,0.31,0.24
S016,short,4,-0.22000000000025466,-0.22000000000025466,1.0,0.24,0.18
S016,short,5,-1.2099999999995816,-1.2099999999995816,10.0,0.18,0.02
S016,short,6,0.09999999999990905,0.09999999999990905,0.0,0.02,0.06
S016,short,7,0.01999999999998181,0.01999999999998181,0.0,0.06,0.03
S016,short,8,0.0,0.0,0.0,0.03,0.02
