Open Time,Ticket,Type,Size,Item,Price,Order,Comment,Entry,Commission,Fee,Swap,Profit,_sheet,_stmt
2026.06.29 16:31:33,389622888,sell,0.02,XAUUSD-STDc,4042.94,523488212,copy #941381724,out,0,0,0,-4.28,Sheet15,2026.06.30 23:59
2026.06.29 16:31:33,389622917,sell,0.04,XAUUSD-STDc,4042.94,523488018,copy #941381702,out,0,0,0,19.28,Sheet15,2026.06.30 23:59
2026.06.29 16:31:34,389624571,sell,0.03,XAUUSD-STDc,4042.53,523488801,copy #941381908,out,0,0,0,6.15,Sheet15,2026.06.30 23:59
2026.06.29 16:31:34,389624635,sell,0.02,XAUUSD-STDc,4042.53,523489003,copy #941381956,out,0,0,0,1.8,Sheet15,2026.06.30 23:59
2026.06.29 16:32:07,389629377,sell,0.02,XAUUSD-STDc,4041.1,523493675,copy #941387612,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 16:33:29,389634061,buy,0.02,XAUUSD-STDc,4040.31,523498365,copy #941392724,out,0,0,0,1.58,Sheet15,2026.06.30 23:59
2026.06.29 16:36:26,389661801,buy,0.02,XAUUSD-STDc,4040.64,523526723,copy #941410610,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 16:37:50,389682425,buy,0.02,XAUUSD-STDc,4035.27,523548085,copy #941425011,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 16:40:44,389697237,sell,0.02,XAUUSD-STDc,4037.82,523562818,copy #941437698,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 16:42:10,389706569,sell,0.02,XAUUSD-STDc,4039.47,523572441,copy #941444815,in,0,0,0,0,Sheet15,2026.06.30 23:59
2026.06.29 16:42:50,389709244,sell,0.02,XAUUSD-STDc,4041.21,523575653,copy #941446434,out,0,0,0,11.88,Sheet15,2026.06.30 23:59
2026.06.29 16:42:50,389709286,sell,0.02,XAUUSD-STDc,4041.21,523575905,copy #941446528,out,0,0,0,1.14,Sheet15,2026.06.30 23:59
2026.06.29 16:43:14,389713432,sell,0.03,XAUUSD-STDc,4039.9,523579247,copy #941450023,in,0,0,0,0,Sheet15,2026.06.30 23:59
