Open Time,Ticket,Type,Size,Item,Price,S / L,T / P,Time,State,Comment,_sheet,_stmt
2026.06.30 10:03:46,528993341,sell,0.14 / 0.14,XAUUSD-STDc,market,0,0,2026.06.30 10:03:46,filled,copy #944611081,Sheet15,2026.06.30 23:59
2026.06.30 10:03:46,528993174,buy,0.24 / 0.24,XAUUSD-STDc,market,0,0,2026.06.30 10:03:46,filled,copy #944611080,Sheet15,2026.06.30 23:59
2026.06.30 10:04:58,528993991,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:04:59,filled,copy #944612941,Sheet15,2026.06.30 23:59
2026.06.30 10:04:59,528994164,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:04:59,filled,copy #944612958,Sheet15,2026.06.30 23:59
2026.06.30 10:04:59,528994330,sell,0.24 / 0.24,XAUUSD-STDc,market,0,0,2026.06.30 10:04:59,filled,copy #944612963,Sheet15,2026.06.30 23:59
2026.06.30 10:05:05,528994638,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:05:05,filled,copy #944613585,Sheet15,2026.06.30 23:59
2026.06.30 10:05:07,528994806,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:05:07,filled,copy #944613681,Sheet15,2026.06.30 23:59
2026.06.30 10:07:17,529008415,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:07:17,filled,copy #944621806,Sheet15,2026.06.30 23:59
2026.06.30 10:12:53,529017680,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:12:54,filled,copy #944631372,Sheet15,2026.06.30 23:59
2026.06.30 10:12:54,529017847,buy,0.24 / 0.24,XAUUSD-STDc,market,0,0,2026.06.30 10:12:54,filled,copy #944631390,Sheet15,2026.06.30 23:59
2026.06.30 10:12:54,529018074,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:12:55,filled,copy #944631468,Sheet15,2026.06.30 23:59
2026.06.30 10:12:55,529018411,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:12:55,filled,copy #944631479,Sheet15,2026.06.30 23:59
2026.06.30 10:12:54,529018240,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:12:55,filled,copy #944631472,Sheet15,2026.06.30 23:59
2026.06.30 10:12:55,529018613,buy,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.06.30 10:12:56,filled,copy #944631566,Sheet15,2026.06.30 23:59
2026.06.30 10:12:55,529018781,buy,0.04 / 0.04,XAUUSD-STDc,market,0,0,2026.06.30 10:12:56,filled,copy #944631619,Sheet15,2026.06.30 23:59
2026.06.30 10:12:56,529018951,buy,0.05 / 0.05,XAUUSD-STDc,market,0,0,2026.06.30 10:12:56,filled,copy #944631643,Sheet15,2026.06.30 23:59
2026.06.30 10:12:56,529019134,buy,0.09 / 0.09,XAUUSD-STDc,market,0,0,2026.06.30 10:12:56,filled,copy #944631715,Sheet15,2026.06.30 23:59
2026.06.30 10:12:56,529019306,buy,0.06 / 0.06,XAUUSD-STDc,market,0,0,2026.06.30 10:12:57,filled,copy #944631729,Sheet15,2026.06.30 23:59
2026.06.30 10:12:56,529019470,buy,0.11 / 0.11,XAUUSD-STDc,market,0,0,2026.06.30 10:12:57,filled,copy #944631748,Sheet15,2026.06.30 23:59
2026.06.30 10:12:57,529019656,buy,0.14 / 0.14,XAUUSD-STDc,market,0,0,2026.06.30 10:12:57,filled,copy #944631855,Sheet15,2026.06.30 23:59
2026.06.30 10:12:57,529019825,buy,0.18 / 0.18,XAUUSD-STDc,market,0,0,2026.06.30 10:12:57,filled,copy #944631861,Sheet15,2026.06.30 23:59
2026.06.30 10:12:57,529020003,buy,0.31 / 0.31,XAUUSD-STDc,market,0,0,2026.06.30 10:12:58,filled,copy #944631884,Sheet15,2026.06.30 23:59
2026.06.30 10:12:58,529020172,buy,0.54 / 0.54,XAUUSD-STDc,market,0,0,2026.06.30 10:12:58,filled,copy #944631905,Sheet15,2026.06.30 23:59
2026.06.30 10:12:58,529020339,buy,0.41 / 0.41,XAUUSD-STDc,market,0,0,2026.06.30 10:12:58,filled,copy #944631968,Sheet15,2026.06.30 23:59
2026.06.30 10:21:34,529054492,sell,0.41 / 0.41,XAUUSD-STDc,market,0,0,2026.06.30 10:21:35,filled,copy #944656232,Sheet15,2026.06.30 23:59
2026.06.30 10:21:35,529054704,sell,0.54 / 0.54,XAUUSD-STDc,market,0,0,2026.06.30 10:21:35,filled,copy #944656251,Sheet15,2026.06.30 23:59
2026.06.30 10:21:41,529055116,sell,0.31 / 0.31,XAUUSD-STDc,market,0,0,2026.06.30 10:21:41,filled,copy #944656564,Sheet15,2026.06.30 23:59
2026.06.30 10:21:41,529055288,sell,0.24 / 0.24,XAUUSD-STDc,market,0,0,2026.06.30 10:21:41,filled,copy #944656569,Sheet15,2026.06.30 23:59
2026.06.30 10:21:41,529055455,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.06.30 10:21:42,filled,copy #944656580,Sheet15,2026.06.30 23:59
2026.06.30 10:21:41,529055623,sell,0.11 / 0.11,XAUUSD-STDc,market,0,0,2026.06.30 10:21:42,filled,copy #944656600,Sheet15,2026.06.30 23:59
2026.06.30 10:21:41,529055794,sell,0.09 / 0.09,XAUUSD-STDc,market,0,0,2026.06.30 10:21:42,filled,copy #944656626,Sheet15,2026.06.30 23:59
