pair,year,gap_start,gap_end,gap_minutes,missing_minutes
GBPUSD,2023,2023-04-10T06:59:00Z,2023-04-10T08:00:00Z,61,60
GBPUSD,2023,2023-04-10T08:59:00Z,2023-04-10T10:00:00Z,61,60
GBPUSD,2023,2023-04-10T10:59:00Z,2023-04-10T12:00:00Z,61,60
GBPUSD,2023,2023-04-10T12:59:00Z,2023-04-10T14:00:00Z,61,60
GBPUSD,2023,2023-04-10T14:59:00Z,2023-04-10T16:00:00Z,61,60
GBPUSD,2023,2023-04-10T16:59:00Z,2023-04-10T19:00:00Z,121,120
GBPUSD,2023,2023-04-11T05:59:00Z,2023-04-11T07:00:00Z,61,60
GBPUSD,2023,2023-04-11T08:59:00Z,2023-04-11T10:00:00Z,61,60
GBPUSD,2023,2023-04-11T10:59:00Z,2023-04-11T13:00:00Z,121,120
GBPUSD,2023,2023-04-11T13:59:00Z,2023-04-11T15:00:00Z,61,60
GBPUSD,2023,2023-04-11T15:59:00Z,2023-04-11T17:00:00Z,61,60
GBPUSD,2023,2023-04-11T17:59:00Z,2023-04-11T19:00:00Z,61,60
GBPUSD,2023,2023-04-12T06:59:00Z,2023-04-12T08:00:00Z,61,60
GBPUSD,2023,2023-04-12T08:59:00Z,2023-04-12T10:00:00Z,61,60
GBPUSD,2023,2023-04-12T10:59:00Z,2023-04-12T12:00:00Z,61,60
GBPUSD,2023,2023-04-12T12:59:00Z,2023-04-12T14:00:00Z,61,60
GBPUSD,2023,2023-04-12T14:59:00Z,2023-04-12T16:00:00Z,61,60
GBPUSD,2023,2023-04-12T16:59:00Z,2023-04-12T18:00:00Z,61,60
GBPUSD,2023,2023-04-12T18:59:00Z,2023-04-12T20:00:00Z,61,60
GBPUSD,2023,2023-04-13T06:59:00Z,2023-04-13T08:00:00Z,61,60
GBPUSD,2023,2023-04-13T08:59:00Z,2023-04-13T10:00:00Z,61,60
GBPUSD,2023,2023-04-13T10:59:00Z,2023-04-13T12:00:00Z,61,60
GBPUSD,2023,2023-04-13T12:59:00Z,2023-04-13T14:00:00Z,61,60
